		1  2  3  4  5  6  7  8  9  10 11 12 13 14 15 16 17 18 19 20 
	---------------------------------------------------------------
1	|	46 11 93 54 42 30 29 39 46 48 25 55 60 85 56 10 38 60 70 93 
2	|	11 24 71 12 36 18 40 23 65 95 37 48 27 81 46 17 29 28 54 24 
3	|	93 71 15 28 79 36 92 88 39 26 69 45 40 13 61 62 78 46 93 66 
4	|	54 12 28 86 77 33 50 83 87 56 58 76 96 21 67 72 23 18 61 69 
5	|	42 36 79 77 49 80 85 10 89 99 65 59 36 29 14 60 51 25 60 71 
6	|	30 18 36 33 80 78 16 84 33 64 26 36 91 60 76 69 29 29 26 76 
7	|	29 40 92 50 85 16 53 77 44 95 23 29 56 35 16 96 10 48 54 76 
8	|	39 23 88 83 10 84 77 30 60 45 44 24 73 54 52 21 74 66 62 81 
9	|	46 65 39 87 89 33 44 60 91 78 85 24 88 13 16 39 86 76 92 84 
10	|	48 95 26 56 99 64 95 45 78 92 99 16 32 58 78 85 29 30 23 95 
11	|	25 37 69 58 65 26 23 44 85 99 77 80 97 42 71 46 96 87 61 12 
12	|	55 48 45 76 59 36 29 24 24 16 80 10 86 32 60 49 42 41 48 71 
13	|	60 27 40 96 36 91 56 73 88 32 97 86 27 97 68 43 70 99 81 37 
14	|	85 81 13 21 29 60 35 54 13 58 42 32 97 27 21 79 78 30 22 18 
15	|	56 46 61 67 14 76 16 52 16 78 71 60 68 21 61 85 64 81 31 96 
16	|	10 17 62 72 60 69 96 21 39 85 46 49 43 79 85 87 93 47 65 26 
17	|	38 29 78 23 51 29 10 74 86 29 96 42 70 78 64 93 57 44 57 33 
18	|	60 28 46 18 25 29 48 66 76 30 87 41 99 30 81 47 44 24 11 64 
19	|	70 54 93 61 60 26 54 62 92 23 61 48 81 22 31 65 57 11 68 52 
20	|	93 24 66 69 71 76 76 81 84 95 12 71 37 18 96 26 33 64 52 99 
